epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,74.4266,0.26217,0.36376,0.81649,0,0,0,0,0,676.5,0,0.00050005,0.00050005,0.00050005
103,75.2006,0.26041,0.34845,0.80785,0,0,0,0,0,667,0,0.0004951,0.0004951,0.0004951
104,75.9305,0.25142,0.34826,0.80683,0,0,0,0,0,660.5,0,0.00049015,0.00049015,0.00049015
105,76.6351,0.2587,0.35577,0.811,0,0,0,0,0,649.5,0,0.0004852,0.0004852,0.0004852
106,77.3512,0.24438,0.34305,0.8083,0,0,0,0,0,631,0,0.00048025,0.00048025,0.00048025
107,78.0519,0.23789,0.34708,0.81121,0,0,0,0,0,638.5,0,0.0004753,0.0004753,0.0004753
108,78.759,0.24243,0.34458,0.81467,0,0,0,0,0,656.5,0,0.00047035,0.00047035,0.00047035
109,79.4661,0.25159,0.35223,0.82612,0,0,0,0,0,668,0,0.0004654,0.0004654,0.0004654
110,80.1642,0.25038,0.3524,0.80696,0,0,0,0,0,646,0,0.00046045,0.00046045,0.00046045
111,80.8558,0.24159,0.34122,0.80394,0,0,0,0,0,618.5,0,0.0004555,0.0004555,0.0004555
112,81.551,0.25196,0.34788,0.81685,0,0,0,0,0,609.5,0,0.00045055,0.00045055,0.00045055
113,82.245,0.25275,0.35857,0.8213,0,0,0,0,0,628.5,0,0.0004456,0.0004456,0.0004456
114,82.9446,0.23685,0.33523,0.79994,0,0,0,0,0,662.5,0,0.00044065,0.00044065,0.00044065
115,83.6445,0.25813,0.35823,0.81862,0,0,0,0,0,677.5,0,0.0004357,0.0004357,0.0004357
116,84.3618,0.24768,0.33581,0.80478,0,0,0,0,0,682.5,0,0.00043075,0.00043075,0.00043075
117,85.1168,0.24491,0.33733,0.80696,0,0,0,0,0,690,0,0.0004258,0.0004258,0.0004258
118,85.8783,0.25308,0.34307,0.81244,0,0,0,0,0,697.5,0,0.00042085,0.00042085,0.00042085
119,86.6281,0.24634,0.3437,0.81115,0,0,0,0,0,681,0,0.0004159,0.0004159,0.0004159
120,87.3896,0.23754,0.34676,0.81757,0,0,0,0,0,649.5,0,0.00041095,0.00041095,0.00041095
121,88.1491,0.24269,0.33491,0.80565,0,0,0,0,0,625,0,0.000406,0.000406,0.000406
122,88.9162,0.24754,0.3457,0.82115,0,0,0,0,0,612,0,0.00040105,0.00040105,0.00040105
123,89.7197,0.24376,0.33966,0.80614,0,0,0,0,0,631.5,0,0.0003961,0.0003961,0.0003961
